,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
90,0.0,0.0,20.0,0.0,1.0,0.0,1669.23937713976,14.1,1669.239377139762
91,0.0,10.0,10.0,0.0,1.0,692.1577,2361.39707713976,14.6,2361.3970771397617
92,0.0,6.0,4.0,0.0,1.0,358.25322,2719.65029713976,14.9,2719.6502971397617
93,0.0,0.0,4.0,0.0,1.0,0.0,2719.65029713976,14.9,2719.6502971397617
94,0.0,0.0,4.0,0.0,1.0,0.0,2719.65029713976,14.9,2719.6502971397617
95,0.0,0.0,4.0,0.0,1.0,0.0,2719.65029713976,14.9,2719.6502971397617
96,0.0,0.0,4.0,0.0,1.0,0.0,2719.65029713976,14.9,2719.6502971397617
97,6.0,0.0,10.0,1.0,0.0,-279.458288190683,2440.19200894908,15.2,2440.1920089490786
98,0.0,0.0,10.0,0.0,1.0,0.0,2440.19200894908,15.2,2440.1920089490786
99,0.0,0.0,10.0,0.0,1.0,0.0,2440.19200894908,15.2,2440.1920089490786
100,0.0,0.0,10.0,0.0,1.0,0.0,2440.19200894908,15.2,2440.1920089490786
101,0.0,0.0,10.0,0.0,1.0,0.0,2440.19200894908,15.2,2440.1920089490786
102,10.0,0.0,20.0,1.0,0.0,-465.22210184182,1974.96990710726,15.7,1974.9699071072587
103,0.0,0.0,20.0,0.0,1.0,0.0,1974.96990710726,15.7,1974.9699071072587
104,0.0,0.0,20.0,0.0,1.0,0.0,1974.96990710726,15.7,1974.9699071072587
105,0.0,0.0,20.0,0.0,1.0,0.0,1974.96990710726,15.7,1974.9699071072587
106,0.0,0.0,20.0,0.0,1.0,0.0,1974.96990710726,15.7,1974.9699071072587
107,0.0,0.0,20.0,0.0,1.0,0.0,1974.96990710726,15.7,1974.9699071072587
108,0.0,10.0,10.0,0.0,1.0,598.2886,2573.25850710726,16.2,2573.2585071072585
109,0.0,0.0,10.0,0.0,1.0,0.0,2573.25850710726,16.2,2573.2585071072585
110,0.0,0.0,10.0,0.0,1.0,0.0,2573.25850710726,16.2,2573.2585071072585
111,0.0,0.0,10.0,0.0,1.0,0.0,2573.25850710726,16.2,2573.2585071072585
112,0.0,0.0,10.0,0.0,1.0,0.0,2573.25850710726,16.2,2573.2585071072585
113,10.0,0.0,20.0,1.0,0.0,-563.380281690141,2009.87822541712,16.7,2009.8782254171174
114,0.0,6.0,14.0,0.0,1.0,430.19184,2440.07006541712,17.0,2440.0700654171173
115,0.0,10.0,4.0,0.0,1.0,923.0,3363.07006541712,17.5,3363.0700654171173
116,0.0,0.0,4.0,0.0,1.0,0.0,3363.07006541712,17.5,3363.0700654171173
117,0.0,0.0,4.0,0.0,1.0,0.0,3363.07006541712,17.5,3363.0700654171173
118,0.0,0.0,4.0,0.0,1.0,0.0,3363.07006541712,17.5,3363.0700654171173
119,0.0,0.0,4.0,0.0,1.0,0.0,3363.07006541712,17.5,3363.0700654171173
120,10.0,0.0,14.0,1.0,0.0,-463.813651137595,2899.25641427952,18.0,2899.2564142795222
121,0.0,10.0,4.0,0.0,1.0,505.9886,3405.24501427952,18.5,3405.2450142795224
122,0.0,0.0,4.0,0.0,1.0,0.0,3405.24501427952,18.5,3405.2450142795224
123,0.0,0.0,4.0,0.0,1.0,0.0,3405.24501427952,18.5,3405.2450142795224
124,0.0,0.0,4.0,0.0,1.0,0.0,3405.24501427952,18.5,3405.2450142795224
125,0.0,0.0,4.0,0.0,1.0,0.0,3405.24501427952,18.5,3405.2450142795224
126,0.0,0.0,4.0,0.0,1.0,0.0,3405.24501427952,18.5,3405.2450142795224
127,10.0,0.0,14.0,1.0,0.0,-379.19826652221,3026.04674775731,19.0,3026.0467477573125
128,6.0,0.0,20.0,1.0,0.0,-253.911159263272,2772.13558849404,19.3,2772.1355884940403
129,0.0,0.0,20.0,0.0,1.0,0.0,2772.13558849404,19.3,2772.1355884940403
130,0.0,0.0,20.0,0.0,1.0,0.0,2772.13558849404,19.3,2772.1355884940403
